fsku,actual_t10,actual_t11,actual_t12,actual_t1,final_fc_t12,ma3_fc_t12,acc_final_t12,acc_ma3_t12,final_fc_t1,ma3_fc_t1,acc_final_t1,acc_ma3_t1,final_fc_t2,final_fc_t3
29.L1.6060.FPU6000,120.0,136.0,53,106,135,144.0,0.0%,0.0%,91,103.0,85.8%,97.2%,89,82
29.L1.6060.FPU6001,0.0,0.0,76,,0,0.0,0.0%,0.0%,38,25.0,,,42,48
29.L1.6060.FPU6002,45.0,0.0,4,31,18,15.0,0.0%,0.0%,11,16.0,35.5%,52.7%,7,8
29.L1.6060.FPU6003,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.6060.FPU6005,0.0,0.0,0,,0,45.0,,,0,0.0,,,0,0
29.L1.6060.FPU6006,69.0,0.0,61,50,110,128.0,19.7%,0.0%,44,43.0,88.0%,86.7%,40,45
29.L1.6060.FPU6007,153.0,28.0,0,,60,60.0,,,39,60.0,,,25,24
29.L1.6060.FPU6009,38.0,0.0,0,,41,13.0,,,0,13.0,,,0,0
29.L1.6060.FPU6010,28.0,0.0,0,,200,36.0,,,0,9.0,,,0,0
29.L1.6060.FPU6011,354.0,24.0,4,,322,259.0,0.0%,0.0%,80,127.0,,,46,48
29.L1.6060.FPU6012,19.0,167.0,287,,71,77.0,24.7%,26.7%,0,158.0,,,8,28
29.L1.6060.FPU6013,4.0,0.0,17,21,52,1.0,0.0%,7.8%,9,7.0,42.9%,33.3%,10,11
29.L1.6060.FPU6014,152.0,122.0,76,12,85,91.0,88.2%,79.8%,105,117.0,0.0%,0.0%,100,97
29.L1.6060.FPU6016,1.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.6060.FPU6017,0.0,0.0,0,26,0,3.0,,,0,0.0,0.0%,0.0%,0,0
29.L1.6060.FPU6018,4.0,0.0,159,,10,1.0,6.3%,0.8%,80,54.0,,,88,100
29.L1.6060.FPU966001,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.6060.FPU966002,0.0,0.0,0,44,0,0.0,,,0,0.0,0.0%,0.0%,0,0
29.L1.6060.FPU966003,0.0,1.0,0,,8,0.0,,,0,0.0,,,0,0
29.L1.6060.FPU966005,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.6060.FPU966009,43.0,8.0,0,,18,18.0,,,11,17.0,,,7,7
29.L1.6060.FPU966013,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.8080.FP18600,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.8080.FP18601,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.8080.FP18604,3.0,51.0,18,9,24,30.0,66.7%,31.5%,25,24.0,0.0%,0.0%,28,25
29.L1.8080.FP18606,0.0,0.0,0,3,0,30.0,,,0,0.0,0.0%,0.0%,0,0
29.L1.8080.FP18607,480.0,3.0,14,78,54,161.0,0.0%,0.0%,104,166.0,66.7%,0.0%,57,62
29.L1.8080.FP18608,15.0,4.0,6,,10,6.0,33.3%,94.4%,7,8.0,,,6,6
29.L1.8080.FP18666,10.0,17.0,11,,10,10.0,90.9%,90.9%,13,13.0,,,13,13
29.L1.8080.FPU188003,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.8080.FPU188005,93.0,0.0,0,,5,33.0,,,0,31.0,,,0,0
29.L1.8080.FPU188011,0.0,63.0,0,,0,21.0,,,19,21.0,,,22,17
29.L1.8080.FPU188013,0.0,0.0,32,76,0,17.0,0.0%,53.1%,76,11.0,100.0%,14.0%,1,2
29.L1.8080.FPU188017,5.0,0.0,2,139,40,6.0,0.0%,0.0%,2,2.0,1.4%,1.7%,2,2
29.L1.8080.FPU188033,0.0,6.0,205,,32,31.0,15.6%,15.0%,0,70.0,,,20,72
29.L1.8080.FPU188035,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.8080.FPU8000,3.0,1.0,2,,6,1.0,0.0%,66.7%,2,2.0,,,2,2
29.L1.8080.FPU8001,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.8080.FPU8002,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.8080.FPU8003,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.8080.FPU8006,0.0,5.0,6,,5,2.0,83.3%,27.8%,4,4.0,,,5,5
29.L1.8080.FPU8007,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.8080.FPU8011,0.0,8.0,0,,13,3.0,,,2,3.0,,,3,2
29.L1.8080.FPU8013,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L1.8080.FPU8014,0.0,0.0,0,15,0,0.0,,,15,0.0,100.0%,0.0%,0,3
29.L1.8080.FPU8016,0.0,0.0,3,,0,0.0,0.0%,0.0%,2,1.0,,,2,2
29.L1.8080.FPU8017,0.0,74.0,0,11,42,25.0,,,22,25.0,0.0%,0.0%,26,20
29.L1.8080.FPU8888,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
29.L2.8080.FPU188003,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
31.L1.LEO-100100-001,4.0,0.0,0,,37,61.0,,,0,1.0,,,0,0
31.L1.LEO-100100-002,10.0,0.0,263,72,10,15.0,3.8%,5.7%,134,91.0,13.9%,73.6%,146,166
31.L1.LEO-100100-003,13.0,2.0,203,790,142,151.0,70.0%,74.2%,790,73.0,100.0%,9.2%,514,869
31.L1.LEO-100100-004,135.0,16.0,153,4,124,177.0,81.0%,84.5%,108,101.0,0.0%,0.0%,103,114
31.L1.LEO-100100-005,154.0,3.0,715,46,66,82.0,9.2%,11.5%,389,291.0,0.0%,0.0%,410,465
31.L1.LEO-100100-006,8.0,0.0,0,,2,3.0,,,0,3.0,,,0,0
31.L1.LEO-100100-007,173.0,32.0,64,9,108,136.0,31.2%,0.0%,76,90.0,0.0%,0.0%,64,68
31.L1.LEO-100100-008,53.0,151.0,427,,91,68.0,21.3%,15.9%,0,210.0,,,43,149
31.L1.LEO-100100-009,71.0,11.0,9,18,7,29.0,77.8%,0.0%,26,30.0,55.6%,31.5%,17,36
31.L1.LEO-100100-010,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
31.L1.LEO-100100-011,119.0,54.0,60,394,64,61.0,93.3%,98.9%,70,78.0,17.8%,19.7%,64,65
31.L1.LEO-100100-012,1.0,1.0,50,254,1,1.0,2.0%,1.3%,254,17.0,100.0%,6.8%,165,279
