fsku,actual_t10,wma_t10,ma3_t10,acc_wma_t10,acc_ma3_t10,actual_t11,wma_t11,ma3_t11,acc_wma_t11,acc_ma3_t11,actual_t12,final_t12,ma3_t12,acc_final_t12,acc_ma3_t12,actual_t1,final_t1,ma3_t1,acc_final_t1,acc_ma3_t1,final_t2,final_t3,actual_t1_num
05.L1.8080.IP8005,22.0,259.0,259.0,0.0,0.0,0.0,194.0,194.0,,,44,218,190.0,0.0,0.0,57,26,22.0,45.614035087719294,38.59649122807017,26,30,57
05.L1.8080.IP8006,24.0,232.0,232.0,0.0,0.0,16.0,123.0,123.0,0.0,0.0,0,84,128.0,,,22,10,13.0,45.45454545454546,60.60606060606061,8,7,22
05.L1.8080.IP8007,0.0,878.0,878.0,,,0.0,625.0,625.0,,,556,0,558.0,0.0,99.64028776978418,0,0,185.0,,,56,195,0
05.L1.8080.IP8008,5.0,288.0,288.0,0.0,0.0,0.0,65.0,65.0,,,0,189,2.0,,,55,0,2.0,0.0,3.0303030303030276,0,0,55
05.L1.8080.USG88001,1234.0,2786.0,2786.0,0.0,0.0,1695.0,1867.0,1867.0,89.85250737463126,89.85250737463126,2252,1400,1281.0,62.16696269982238,56.86796921255181,1944,1881,1727.0,96.75925925925925,88.83744855967079,1955,1992,1944
05.L1.8080.USG88002,1652.0,1151.0,1151.0,69.69330104923324,69.69330104923324,997.0,1347.0,1347.0,64.92811768639251,64.92811768639251,2074,1316,1420.0,63.45226615236259,68.48280295724847,961,1666,1574.0,26.638917793964623,36.1775927852931,1655,1742,961
05.L1.8080.USG88003,892.0,1323.0,1323.0,51.71898355754857,51.71898355754857,808.0,1090.0,1090.0,65.05775577557758,65.05775577557758,424,865,890.0,0.0,0.0,1541,633,708.0,41.07722258273848,45.94419208306295,605,577,1541
05.L1.8080.USG88004,759.0,1644.0,1644.0,0.0,0.0,716.0,1125.0,1125.0,42.830540037243956,42.830540037243956,1332,776,809.0,58.25825825825825,60.7107107107107,3288,1033,936.0,31.417274939172746,28.457015409570154,1059,1106,3288
05.L1.8080.USG88005,1065.0,932.0,932.0,87.54303599374023,87.54303599374023,790.0,820.0,820.0,96.24472573839662,96.24472573839662,593,788,741.0,67.11635750421586,75.09836987071388,1046,746,816.0,71.31931166347992,78.0114722753346,709,697,1046
05.L1.8080.USG88006,1481.0,1177.0,1177.0,79.47332883187036,79.47332883187036,1745.0,1093.0,1093.0,62.636103151862464,62.636103151862464,1748,1431,1266.0,81.86498855835241,72.40655987795577,1125,1694,1658.0,49.422222222222224,52.62222222222221,1720,1718,1125
05.L1.8080.USG88007,1471.0,1246.0,1246.0,84.72694312259233,84.72694312259233,1506.0,1170.0,1170.0,77.68924302788844,77.68924302788844,3412,1506,1513.0,44.13833528722157,44.33372411098085,841,2452,2130.0,0.0,0.0,2551,2694,841
05.L1.8080.USG88008,1504.0,3424.0,3424.0,0.0,0.0,1423.0,2549.0,2549.0,20.894823143593356,20.894823143593356,4392,1543,1610.0,35.132058287796,36.65755919854281,4353,2924,2440.0,67.17206524236158,56.045639022896076,3064,3288,4353
09.L1.1590.CA09GK15901,0.0,35.0,35.0,,,0.0,22.0,22.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0
09.L1.1590.CA09GK15902,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0
09.L1.1590.CA09GK15903,112.0,11.0,11.0,9.523809523809524,9.523809523809524,0.0,48.0,48.0,,,0,72,48.0,,,0,0,37.0,,,0,0,0
09.L1.1590.CA09GK15904,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0
09.L1.1590.CA09GK15905,0.0,138.0,138.0,,,0.0,3.0,3.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0
09.L1.1590.CA10GK15901,0.0,12.0,12.0,,,0.0,12.0,12.0,,,1036,0,12.0,0.0,1.1904761904761973,81,81,345.0,100.0,0.0,359,344,81
09.L1.1590.CA10GK15903,0.0,134.0,134.0,,,0.0,13.0,13.0,,,0,0,13.0,,,0,0,0.0,,,0,0,0
09.L1.1590.CA10GK15904,0.0,451.0,451.0,,,0.0,451.0,451.0,,,0,0,225.0,,,0,0,0.0,,,0,0,0
09.L1.1590.CA10GK15905,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0
09.L1.3060.CA7GM3602,0.0,33.0,33.0,,,0.0,33.0,33.0,,,30,0,0.0,0.0,0.0,0,15,10.0,,,16,18,0
09.L1.3060.CA7GM3603,15.0,16.0,16.0,95.55555555555556,95.55555555555556,17.0,5.0,5.0,29.411764705882348,29.411764705882348,0,32,11.0,,,0,8,11.0,,,7,6,0
09.L1.3060.CA8GM3603,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0
09.L1.3060.CAGM36D1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0
09.L1.3060.CAGM36D4,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0
