item_code,location_code,period_start,qty,demand_type,segment,priority,combo_class,branch_archetype,tet_flag,confidence_lower,confidence_upper
09.L1.3060.CAGM36D4,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.3060.CAGM36D4,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA01GM6601,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
09.L1.6060.CA01GM6601,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA01GM6601,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA01GM6601,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA01GM6602,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
09.L1.6060.CA01GM6602,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA01GM6602,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA01GM6602,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA03GM6601,000,2025-12-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
09.L1.6060.CA03GM6601,000,2026-01-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA03GM6601,000,2026-02-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA03GM6601,000,2026-03-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA03GM6602,000,2025-12-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
09.L1.6060.CA03GM6602,000,2026-01-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA03GM6602,000,2026-02-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA03GM6602,000,2026-03-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA05GM6601,000,2025-12-01,0.0,FORECAST,C,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
09.L1.6060.CA05GM6601,000,2026-01-01,0.0,FORECAST,C,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA05GM6601,000,2026-02-01,0.0,FORECAST,C,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
09.L1.6060.CA05GM6601,000,2026-03-01,0.0,FORECAST,C,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4547,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
10.L1.3060.4547,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4547,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
