item_code,period_start,qty
05.L1.6060.IP6004,2026-03-01,98.0
05.L1.6060.IP6005,2025-12-01,321.0
05.L1.6060.IP6005,2026-01-01,394.0
05.L1.6060.IP6005,2026-02-01,432.0
05.L1.6060.IP6005,2026-03-01,477.0
05.L1.6060.IP6006,2025-12-01,300.0
05.L1.6060.IP6006,2026-01-01,37.0
05.L1.6060.IP6006,2026-02-01,17.0
05.L1.6060.IP6006,2026-03-01,76.0
05.L1.6060.IP6007,2025-12-01,1118.0
05.L1.6060.IP6007,2026-01-01,6.0
05.L1.6060.IP6007,2026-02-01,53.0
05.L1.6060.IP6007,2026-03-01,116.0
05.L1.6060.USG66001,2025-12-01,4741.0
05.L1.6060.USG66001,2026-01-01,6024.0
05.L1.6060.USG66001,2026-02-01,6170.0
05.L1.6060.USG66001,2026-03-01,6381.0
05.L1.6060.USG66002,2025-12-01,2548.0
05.L1.6060.USG66002,2026-01-01,2520.0
05.L1.6060.USG66002,2026-02-01,2618.0
05.L1.6060.USG66002,2026-03-01,2546.0
05.L1.6060.USG66003,2025-12-01,1750.0
05.L1.6060.USG66003,2026-01-01,1601.0
05.L1.6060.USG66003,2026-02-01,1722.0
05.L1.6060.USG66003,2026-03-01,1680.0
05.L1.6060.USG66004,2025-12-01,2808.0
05.L1.6060.USG66004,2026-01-01,3692.0
05.L1.6060.USG66004,2026-02-01,3777.0
05.L1.6060.USG66004,2026-03-01,3884.0
05.L1.6060.USG66005,2025-12-01,1352.0
05.L1.6060.USG66005,2026-01-01,1781.0
05.L1.6060.USG66005,2026-02-01,1806.0
05.L1.6060.USG66005,2026-03-01,1968.0
05.L1.6060.USG66006,2025-12-01,2031.0
05.L1.6060.USG66006,2026-01-01,2742.0
05.L1.6060.USG66006,2026-02-01,2781.0
05.L1.6060.USG66006,2026-03-01,2893.0
05.L1.6060.USG66007,2025-12-01,2912.0
05.L1.6060.USG66007,2026-01-01,1258.0
05.L1.6060.USG66007,2026-02-01,814.0
05.L1.6060.USG66007,2026-03-01,1775.0
05.L1.6060.USG66008,2025-12-01,4055.0
05.L1.6060.USG66008,2026-01-01,793.0
05.L1.6060.USG66008,2026-02-01,515.0
05.L1.6060.USG66008,2026-03-01,2010.0
05.L1.8080.688001,2025-12-01,900.0
05.L1.8080.688001,2026-01-01,655.0
05.L1.8080.688001,2026-02-01,637.0
05.L1.8080.688001,2026-03-01,524.0
05.L1.8080.688002,2025-12-01,380.0
05.L1.8080.688002,2026-01-01,630.0
05.L1.8080.688002,2026-02-01,681.0
05.L1.8080.688002,2026-03-01,700.0
05.L1.8080.688003,2025-12-01,1792.0
05.L1.8080.688003,2026-01-01,1884.0
05.L1.8080.688003,2026-02-01,1928.0
05.L1.8080.688003,2026-03-01,1909.0
05.L1.8080.688004,2025-12-01,343.0
05.L1.8080.688004,2026-01-01,367.0
05.L1.8080.688004,2026-02-01,339.0
05.L1.8080.688004,2026-03-01,352.0
05.L1.8080.688005,2025-12-01,894.0
05.L1.8080.688005,2026-01-01,528.0
05.L1.8080.688005,2026-02-01,522.0
05.L1.8080.688005,2026-03-01,473.0
05.L1.8080.688006,2025-12-01,241.0
05.L1.8080.688006,2026-01-01,472.0
05.L1.8080.688006,2026-02-01,520.0
05.L1.8080.688006,2026-03-01,547.0
05.L1.8080.688007,2025-12-01,627.0
05.L1.8080.688007,2026-01-01,931.0
05.L1.8080.688007,2026-02-01,892.0
05.L1.8080.688007,2026-03-01,985.0
05.L1.8080.IP8001,2025-12-01,2500.0
05.L1.8080.IP8001,2026-01-01,6.0
05.L1.8080.IP8001,2026-02-01,56.0
05.L1.8080.IP8001,2026-03-01,252.0
05.L1.8080.IP8002,2025-12-01,311.0
05.L1.8080.IP8002,2026-01-01,0.0
05.L1.8080.IP8002,2026-02-01,0.0
05.L1.8080.IP8002,2026-03-01,0.0
05.L1.8080.IP8003,2025-12-01,0.0
05.L1.8080.IP8003,2026-01-01,521.0
05.L1.8080.IP8003,2026-02-01,373.0
05.L1.8080.IP8003,2026-03-01,400.0
05.L1.8080.IP8004,2025-12-01,52.0
05.L1.8080.IP8004,2026-01-01,221.0
05.L1.8080.IP8004,2026-02-01,243.0
05.L1.8080.IP8004,2026-03-01,275.0
05.L1.8080.IP8005,2025-12-01,218.0
05.L1.8080.IP8005,2026-01-01,26.0
05.L1.8080.IP8005,2026-02-01,26.0
05.L1.8080.IP8005,2026-03-01,30.0
05.L1.8080.IP8006,2025-12-01,84.0
05.L1.8080.IP8006,2026-01-01,10.0
05.L1.8080.IP8006,2026-02-01,8.0
05.L1.8080.IP8006,2026-03-01,7.0
05.L1.8080.IP8007,2025-12-01,0.0
05.L1.8080.IP8007,2026-01-01,0.0
05.L1.8080.IP8007,2026-02-01,56.0
05.L1.8080.IP8007,2026-03-01,195.0
05.L1.8080.IP8008,2025-12-01,189.0
05.L1.8080.IP8008,2026-01-01,0.0
05.L1.8080.IP8008,2026-02-01,0.0
05.L1.8080.IP8008,2026-03-01,0.0
05.L1.8080.USG88001,2025-12-01,1400.0
05.L1.8080.USG88001,2026-01-01,1881.0
05.L1.8080.USG88001,2026-02-01,1955.0
05.L1.8080.USG88001,2026-03-01,1992.0
05.L1.8080.USG88002,2025-12-01,1316.0
